version: 66.14
glider: 195
mission: 21
dive: 67
start: 4 20 105 6 34 57
columns: rec,elaps_tms,depth,heading,pitch,roll,AD_pitch,AD_roll,AD_vbd,GC_phase,mag.x,mag.y,mag.z,sbect.TempFreq,sbect.CondFreq,wlbb2fl.sig470nm,wlbb2fl.sig700nm,wlbb2fl.sig695nm,wlbb2fl.temp,aa4330.O2,aa4330.AirSat,aa4330.Temp,aa4330.CalPhase,aa4330.TCPhase,
data:
0 11580 46 692 -684 11 165 2210 1398 6 66 -335 -111 176010 136721 44 102 132 534 256733 98711 24552 29322 30728
1 10327 201 46 3 2 0 0 0 0 -15 -17 11 552 201 39 85 103 531 226618 85945 23818 31008 32414
1 12842 267 20 16 -67 61 -1432 4 0 -6 -3 -15 466 81 N N N N N N N N N
1 9717 153 41 38 -50 -1 -1 0 2 -13 -12 1 -233 -109 40 78 91 531 222467 83900 23521 31341 32747
1 10762 196 37 3 -4 0 0 0 0 -15 -11 5 -72 -35 N N N N N N N N N
1 10031 146 32 2 0 0 0 0 0 -14 -10 5 446 161 41 79 78 532 224967 84830 23513 31216 32622
1 9969 175 77 3 -1 0 0 0 0 -34 -20 14 1795 568 N N N N N N N N N
1 10032 136 44 7 2 0 0 0 0 -21 -8 12 3170 926 40 80 73 531 222974 83077 22881 31580 32986
1 9968 144 72 -1 2 0 0 0 0 -36 -12 12 278 73 N N N N N N N N N
1 10031 112 75 -3 -3 0 0 0 0 -38 -7 12 52 51 40 79 71 531 206801 76127 22251 32717 34123
1 9969 157 31 2 5 0 0 0 0 -17 0 6 33 35 N N N N N N N N N
1 10031 130 58 0 -3 0 0 0 0 -30 0 10 129 54 40 78 68 531 196468 72054 22057 33399 34805
1 9968 148 98 -2 -5 0 0 0 0 -49 6 16 214 77 N N N N N N N N N
1 10032 155 90 5 3 0 0 0 0 -46 14 15 196 76 43 77 65 532 191950 70213 21922 33731 35137
1 9968 140 31 -2 6 0 0 0 0 -14 7 9 -18 3 N N N N N N N N N
1 10032 148 13 -2 -3 0 0 0 0 -6 2 1 -14 -1 39 79 62 531 187710 68571 21853 34024 35430
1 9969 145 -7 4 1 0 0 0 0 3 -1 -1 86 27 N N N N N N N N N
1 20016 272 -100 2 3 0 0 0 0 47 -18 -17 288 64 N N N N 184021 67150 21797 34282 35688
1 19984 257 -139 2 2 0 0 0 0 72 -10 -22 2394 697 N N N N N N N N N
1 20016 246 -159 2 0 0 0 0 0 82 9 -27 1268 427 N N N N 174065 62650 21092 35251 36657
1 19983 223 -191 -1 1 0 0 0 0 91 40 -31 2576 751 N N N N N N N N N
1 20016 216 -293 13 -3 0 0 0 0 103 113 -32 7876 2234 N N N N 154987 53930 19390 37392 38798
1 19984 147 -31 -1 0 0 0 0 0 7 15 -3 942 439 N N N N N N N N N
1 20017 134 11 -3 -4 0 0 0 0 -2 -5 0 408 225 N N N N 128770 43682 18137 40126 41532
1 19985 100 -2 -1 -1 0 0 0 0 0 1 -1 573 212 N N N N N N N N N
1 23779 160 -69 -12 128 -8 1436 1 -2 13 25 12 721 240 N N N N 116746 39339 17813 41387 42793
1 19982 129 -46 0 -1 0 0 0 0 6 22 -9 267 127 N N N N N N N N N
1 20016 127 19 -3 -2 0 0 0 0 -3 -9 3 626 186 N N N N 112110 37591 17574 41946 43352
1 19985 132 62 -1 3 0 0 0 0 -10 -30 10 773 228 N N N N N N N N N
1 20015 119 -21 5 -1 0 0 0 0 5 10 -2 784 242 N N N N 108149 36032 17266 42480 43886
1 19986 146 3389 13 5 0 0 0 0 18 107 -25 1017 276 N N N N N N N N N
