dive,U_DAC,V_DAC,start_time,end_time,start_latitude,end_latitude,start_longitude,end_longitude
19,-0.045792427,-0.036619157,2025-05-31 10:57:11,2025-05-31 11:53:33,47.84699,47.846817,-122.42575,-122.42
20,-0.04486873,-0.04564934,2025-05-31 12:00:52,2025-05-31 12:51:25,47.84538,47.846733,-122.423355,-122.41898
21,-0.014813175,-0.05754087,2025-05-31 12:59:38,2025-05-31 13:44:26,47.845654,47.846718,-122.42251,-122.41808
22,-0.038364172,-0.010385237,2025-05-31 13:53:55,2025-05-31 14:32:08,47.84585,47.848183,-122.42129,-122.42153
23,0.028107626,0.0074215033,2025-05-31 14:37:52,2025-05-31 15:18:00,47.84812,47.848816,-122.42367,-122.421165
24,-0.045771312,0.03176088,2025-05-31 15:23:06,2025-05-31 16:08:39,47.848934,47.851734,-122.422806,-122.42094
25,-0.13131347,0.0007660788,2025-05-31 16:25:11,2025-05-31 17:01:56,47.852173,47.8522,-122.42515,-122.4249
26,-0.20530745,0.015426139,2025-05-31 17:10:38,2025-05-31 17:58:19,47.851707,47.8524,-122.427605,-122.42748
27,-0.32327315,0.038141094,2025-05-31 18:07:51,2025-05-31 18:45:32,47.851772,47.852432,-122.43135,-122.4363
28,-0.51917654,0.19236252,2025-05-31 18:52:03,2025-05-31 19:25:36,47.85218,47.85375,-122.44009,-122.45448
29,-0.30515262,0.27755067,2025-05-31 19:31:19,2025-05-31 20:06:08,47.854305,47.857433,-122.45785,-122.46239
30,-0.18184,0.24177054,2025-05-31 20:11:35,2025-05-31 21:07:48,47.858017,47.860317,-122.46529,-122.47397
31,-0.09849584,0.04091224,2025-05-31 21:14:26,2025-05-31 22:14:07,47.86063,47.8579,-122.47622,-122.4739
32,-0.037608113,-0.13085134,2025-05-31 22:23:41,2025-05-31 23:14:25,47.85796,47.848766,-122.47747,-122.4794
33,0.07197707,-0.2632404,2025-05-31 23:20:57,2025-06-01 00:12:25,47.848957,47.844685,-122.480385,-122.47205
34,0.10381712,-0.41718093,2025-06-01 00:19:07,2025-06-01 01:06:49,47.84411,47.83595,-122.47347,-122.471466
35,0.114306286,-0.4118684,2025-06-01 01:13:19,2025-06-01 01:51:50,47.835564,47.8299,-122.47282,-122.46817
36,0.12788175,-0.3438043,2025-06-01 01:58:41,2025-06-01 02:38:11,47.829166,47.8259,-122.468994,-122.46627
37,0.13976179,-0.26779714,2025-06-01 02:46:14,2025-06-01 03:26:55,47.824123,47.82255,-122.46802,-122.46335
38,0.14196925,-0.27186447,2025-06-01 03:32:59,2025-06-01 04:24:05,47.821865,47.817383,-122.463036,-122.457085
39,0.10769348,-0.12990342,2025-06-01 04:30:44,2025-06-01 05:19:14,47.817097,47.818085,-122.45607,-122.45367
40,0.105670825,-0.07853202,2025-06-01 05:25:33,2025-06-01 06:11:09,47.818123,47.819534,-122.45371,-122.45075
41,0.07072117,0.017574795,2025-06-01 06:17:37,2025-06-01 07:01:57,47.818935,47.823,-122.45104,-122.4511
42,0.0036030165,0.0148262,2025-06-01 07:08:22,2025-06-01 07:54:24,47.823177,47.826866,-122.45146,-122.45583
43,-0.0318206,0.09026915,2025-06-01 08:00:31,2025-06-01 08:47:37,47.826797,47.83235,-122.45568,-122.4618
44,-0.09060249,0.06730683,2025-06-01 08:55:07,2025-06-01 09:43:39,47.83204,47.837,-122.46203,-122.47013
45,-0.12962711,0.070173375,2025-06-01 09:50:23,2025-06-01 10:33:40,47.836742,47.841732,-122.47256,-122.48057
46,-0.10114847,-0.023458557,2025-06-01 10:40:59,2025-06-01 11:15:46,47.84232,47.841267,-122.48439,-122.48258
47,-0.112999275,-0.045336027,2025-06-01 11:21:41,2025-06-01 11:55:24,47.84183,47.841465,-122.48495,-122.483536
48,-0.0546143,-0.042969942,2025-06-01 12:01:44,2025-06-01 12:32:11,47.842026,47.84178,-122.484634,-122.48185
