dive,U_DAC,V_DAC
294,0.00045449744,-0.007976523
295,-0.061449245,-0.020201858
296,-0.034974314,-0.08617968
297,-0.027337743,-0.078580625
298,-0.03210875,-0.04670726
299,-0.07702762,-0.07090791
300,-0.14292198,-0.10621861
301,-0.1523794,-0.07723131
302,-0.11265878,-0.03963692
303,-0.047401715,-0.012635004
304,0.02939249,-0.039811403
305,0.119625114,-0.05700176
306,0.19589125,-0.026244199
307,0.24628074,0.0151859475
308,0.23618881,0.13828044
309,0.14008825,0.14509968
310,0.03005655,0.12765211
311,-0.011001469,0.12856098
312,-0.015875215,0.09866911
313,-0.019543787,0.046276905
314,-0.044377327,0.003366038
315,-0.06491987,-0.0085080415
316,-0.050721418,-0.011632472
317,-0.018713713,-0.032901037
318,0.006792451,-0.044640943
319,0.026256876,-0.07488952
320,0.0019895805,-0.00083605974
321,0.012156316,0.0031397282
322,-0.02010359,0.00052162824
323,0.02665276,0.004266792
324,-0.053843107,-0.007326808
325,-0.06883496,-0.042283516
326,-0.12405611,-0.018879076
327,-0.18747671,0.005503614
328,-0.24767216,0.0785467
329,-0.31023934,0.07598489
330,-0.3328522,0.092469916
331,-0.19754907,0.08762888
332,-0.059343226,0.033734303
333,0.15598223,-0.036068287
334,0.25350296,-0.10246244
335,0.3779184,0.009440527
336,0.22605547,0.1327519
337,0.12925383,0.15788907
338,0.030041406,0.12662047
339,-0.002535811,0.085275434
340,-0.052180063,0.10674985
341,-0.030363254,0.08718216
342,-0.030751457,0.075508565
343,-0.06612498,0.061954558
344,-0.081171304,0.04103803
345,-0.106120795,0.01942218
346,-0.0439181,-0.01718604
347,0.02407296,-0.0017069759
348,0.06716226,-0.013422828
349,0.039512936,-0.027105423
350,0.026960243,-0.01490552
351,-0.01724579,-0.035714652
352,-0.036402944,-0.062335357
353,-0.035819724,-0.06347691
354,-0.13309051,-0.05337053
355,-0.15438291,0.002737306
356,-0.18375072,0.02522461
357,-0.22124176,0.06797934
358,-0.22231582,0.05284525
359,-0.1358668,0.0068634385
360,0.0021620279,-0.03474182
361,0.14019391,-0.105688624
362,0.3043502,-0.08935133
363,0.27105695,0.0046717986
364,0.15892568,0.039954226
365,0.16767058,0.101837635
366,0.091662005,0.04778689
367,0.035444003,-0.006298141
368,0.037013136,-0.013167448
369,-0.019796591,0.018141719
370,-0.06108837,-0.07073927
371,-0.059664927,-0.011333321
372,-0.0005167513,-0.0265246
373,0.0007605176,0.033418443
374,-0.05645285,-0.030209972
375,-0.019182736,-0.038887225
376,-0.051507566,0.03251224
377,0.0024823046,-0.057196826
378,0.029003154,-0.010003368
379,-0.03943119,0.026057323
380,-0.004180519,-0.03326762
381,0.023864064,0.0062111127
382,-0.0448298,-0.015409831
383,0.022111418,-0.034246743
384,-0.008705853,0.011116909
385,-0.04009545,-0.101326615
386,-0.011783021,-0.027421445
387,-0.026797036,-0.04388979
388,-0.08372484,-0.03969032
